Gene	ID	group_name
CAGL0A00495g	GO:0032553	ribonucleotide binding
CAGL0A00495g	GO:0032555	purine ribonucleotide binding
CAGL0A00495g	GO:0032559	adenyl ribonucleotide binding
CAGL0A00495g	GO:0035639	purine ribonucleoside triphosphate binding
CAGL0A00495g	GO:0036094	small molecule binding
CAGL0A00495g	GO:0042626	ATPase-coupled transmembrane transporter activity
CAGL0A00495g	GO:0043167	ion binding
CAGL0A00495g	GO:0043168	anion binding
CAGL0A00495g	GO:0043169	cation binding
CAGL0A00495g	GO:0046872	metal ion binding
CAGL0A00495g	GO:0097367	carbohydrate derivative binding
CAGL0A00495g	GO:0140358	P-type transmembrane transporter activity
CAGL0A00495g	GO:0140657	ATPase-dependent activity
CAGL0A00495g	GO:1901265	nucleoside phosphate binding
CAGL0A00495g	GO:1901691	proton binding
CAGL0A00517g	GO:0000166	nucleotide binding
CAGL0A00517g	GO:0005215	transporter activity
CAGL0A00517g	GO:0005388	P-type calcium transporter activity
CAGL0A00517g	GO:0005524	ATP binding
CAGL0A00517g	GO:0008324	cation transmembrane transporter activity
CAGL0A00517g	GO:0015075	ion transmembrane transporter activity
CAGL0A00517g	GO:0015085	calcium ion transmembrane transporter activity
CAGL0A00517g	GO:0015318	inorganic molecular entity transmembrane transporter activity
CAGL0A00517g	GO:0015399	primary active transmembrane transporter activity
CAGL0A00517g	GO:0015662	P-type ion transporter activity
CAGL0A00517g	GO:0016462	pyrophosphatase activity
CAGL0A00517g	GO:0016787	hydrolase activity
CAGL0A00517g	GO:0016817	hydrolase activity, acting on acid anhydrides
CAGL0A00517g	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
CAGL0A00517g	GO:0016887	ATP hydrolysis activity
CAGL0A00517g	GO:0017076	purine nucleotide binding
CAGL0A00517g	GO:0017111	nucleoside-triphosphatase activity
CAGL0A00517g	GO:0019829	ATPase-coupled cation transmembrane transporter activity
CAGL0A00517g	GO:0022804	active transmembrane transporter activity
CAGL0A00517g	GO:0022853	active ion transmembrane transporter activity
CAGL0A00517g	GO:0022857	transmembrane transporter activity
CAGL0A00517g	GO:0022890	inorganic cation transmembrane transporter activity
CAGL0A00517g	GO:0030554	adenyl nucleotide binding
CAGL0A00517g	GO:0032553	ribonucleotide binding
CAGL0A00517g	GO:0032555	purine ribonucleotide binding
CAGL0A00517g	GO:0032559	adenyl ribonucleotide binding
CAGL0A00517g	GO:0035639	purine ribonucleoside triphosphate binding
CAGL0A00517g	GO:0036094	small molecule binding
CAGL0A00517g	GO:0042626	ATPase-coupled transmembrane transporter activity
CAGL0A00517g	GO:0043167	ion binding
CAGL0A00517g	GO:0043168	anion binding
CAGL0A00517g	GO:0043169	cation binding
CAGL0A00517g	GO:0046872	metal ion binding
CAGL0A00517g	GO:0046873	metal ion transmembrane transporter activity
CAGL0A00517g	GO:0097367	carbohydrate derivative binding
CAGL0A00517g	GO:0140358	P-type transmembrane transporter activity
CAGL0A00517g	GO:0140657	ATPase-dependent activity
CAGL0A00517g	GO:1901265	nucleoside phosphate binding
CAGL0A00561g	GO:0005515	protein binding
CAGL0A00583g	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
CAGL0A00583g	GO:0003676	nucleic acid binding
CAGL0A00583g	GO:0003677	DNA binding
CAGL0A00583g	GO:0003700	DNA-binding transcription factor activity
CAGL0A00583g	GO:0008270	zinc ion binding
CAGL0A00583g	GO:0043167	ion binding
CAGL0A00583g	GO:0043169	cation binding
CAGL0A00583g	GO:0046872	metal ion binding
CAGL0A00583g	GO:0046914	transition metal ion binding
CAGL0A00583g	GO:0140110	transcription regulator activity
CAGL0A00605g	GO:0005515	protein binding
CAGL0A00605g	GO:0008047	enzyme activator activity
CAGL0A00605g	GO:0010997	anaphase-promoting complex binding
CAGL0A00605g	GO:0030234	enzyme regulator activity
CAGL0A00605g	GO:0030332	cyclin binding
CAGL0A00605g	GO:0044877	protein-containing complex binding
CAGL0A00605g	GO:0055106	ubiquitin-protein transferase regulator activity
CAGL0A00605g	GO:0097027	ubiquitin-protein transferase activator activity
CAGL0A00605g	GO:0098772	molecular function regulator
CAGL0A00605g	GO:1990757	ubiquitin ligase activator activity
CAGL0A00671r	GO:0003676	nucleic acid binding
CAGL0A00671r	GO:0003723	RNA binding
CAGL0A00671r	GO:0003729	mRNA binding
CAGL0A00671r	GO:0030533	triplet codon-amino acid adaptor activity
CAGL0A00671r	GO:0033423	CCA codon-amino acid adaptor activity
CAGL0A00671r	GO:0060090	molecular adaptor activity
CAGL0A00737g	GO:0005215	transporter activity
CAGL0A00737g	GO:0022857	transmembrane transporter activity
CAGL0A00781g	GO:0005515	protein binding
CAGL0A00781g	GO:0008270	zinc ion binding
CAGL0A00781g	GO:0043167	ion binding
CAGL0A00781g	GO:0043169	cation binding
CAGL0A00781g	GO:0046872	metal ion binding
CAGL0A00781g	GO:0046914	transition metal ion binding
CAGL0A00803g	GO:0003676	nucleic acid binding
CAGL0A00803g	GO:0003677	DNA binding
CAGL0A00847g	GO:0004000	adenosine deaminase activity
CAGL0A00847g	GO:0008251	tRNA-specific adenosine deaminase activity
CAGL0A00847g	GO:0008270	zinc ion binding
CAGL0A00847g	GO:0016787	hydrolase activity
CAGL0A00847g	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
CAGL0A00847g	GO:0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
CAGL0A00847g	GO:0019239	deaminase activity
CAGL0A00847g	GO:0043167	ion binding
CAGL0A00847g	GO:0043169	cation binding
CAGL0A00847g	GO:0046872	metal ion binding
CAGL0A00847g	GO:0046914	transition metal ion binding
CAGL0A00847g	GO:0052717	tRNA-specific adenosine-34 deaminase activity
CAGL0A00869g	GO:0003676	nucleic acid binding
CAGL0A00869g	GO:0003677	DNA binding
CAGL0A00869g	GO:0003720	telomerase activity
CAGL0A00869g	GO:0003721	telomerase RNA reverse transcriptase activity
CAGL0A00869g	GO:0003723	RNA binding
CAGL0A00869g	GO:0003964	RNA-directed DNA polymerase activity
CAGL0A00869g	GO:0016740	transferase activity
CAGL0A00869g	GO:0016772	transferase activity, transferring phosphorus-containing groups
CAGL0A00869g	GO:0016779	nucleotidyltransferase activity
CAGL0A00869g	GO:0034061	DNA polymerase activity
CAGL0A00869g	GO:0042162	telomeric DNA binding
CAGL0A00869g	GO:0043565	sequence-specific DNA binding
CAGL0A00869g	GO:0140097	catalytic activity, acting on DNA
CAGL0A00869g	GO:0140640	catalytic activity, acting on a nucleic acid
CAGL0A00891g	GO:0003779	actin binding
CAGL0A00891g	GO:0005515	protein binding
CAGL0A00891g	GO:0005519	cytoskeletal regulatory protein binding
CAGL0A00891g	GO:0008047	enzyme activator activity
CAGL0A00891g	GO:0008092	cytoskeletal protein binding
CAGL0A00891g	GO:0030234	enzyme regulator activity
CAGL0A00891g	GO:0098772	molecular function regulator
CAGL0A00935g	GO:0003676	nucleic acid binding
CAGL0A00935g	GO:0008270	zinc ion binding
CAGL0A00935g	GO:0043167	ion binding
CAGL0A00935g	GO:0043169	cation binding
CAGL0A00935g	GO:0046872	metal ion binding
CAGL0A00935g	GO:0046914	transition metal ion binding
CAGL0A00979g	GO:0003735	structural constituent of ribosome
CAGL0A00979g	GO:0005198	structural molecule activity
CAGL0A01023g	GO:0000309	nicotinamide-nucleotide adenylyltransferase activity
CAGL0A01023g	GO:0016740	transferase activity
CAGL0A01023g	GO:0016772	transferase activity, transferring phosphorus-containing groups
CAGL0A01023g	GO:0016779	nucleotidyltransferase activity
CAGL0A01023g	GO:0070566	adenylyltransferase activity
CAGL0A01045g	GO:0004333	fumarate hydratase activity
CAGL0A01045g	GO:0016829	lyase activity
CAGL0A01045g	GO:0016835	carbon-oxygen lyase activity
CAGL0A01045g	GO:0016836	hydro-lyase activity
CAGL0A01067g	GO:0005515	protein binding
CAGL0A01089g	GO:0004026	alcohol O-acetyltransferase activity
CAGL0A01089g	GO:0008374	O-acyltransferase activity
CAGL0A01089g	GO:0016407	acetyltransferase activity
CAGL0A01089g	GO:0016413	O-acetyltransferase activity
CAGL0A01089g	GO:0016740	transferase activity
CAGL0A01089g	GO:0016746	acyltransferase activity
CAGL0A01089g	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups
CAGL0A01089g	GO:0034318	alcohol O-acyltransferase activity
CAGL0A01111g	GO:0005215	transporter activity
CAGL0A01111g	GO:0005216	ion channel activity
CAGL0A01111g	GO:0005261	cation channel activity
CAGL0A01111g	GO:0008324	cation transmembrane transporter activity
CAGL0A01111g	GO:0009678	pyrophosphate hydrolysis-driven proton transmembrane transporter activity
CAGL0A01111g	GO:0015075	ion transmembrane transporter activity
CAGL0A01111g	GO:0015078	proton transmembrane transporter activity
CAGL0A01111g	GO:0015252	proton channel activity
CAGL0A01111g	GO:0015267	channel activity
CAGL0A01111g	GO:0015318	inorganic molecular entity transmembrane transporter activity
CAGL0A01111g	GO:0015399	primary active transmembrane transporter activity
CAGL0A01111g	GO:0016874	ligase activity
CAGL0A01111g	GO:0019829	ATPase-coupled cation transmembrane transporter activity
CAGL0A01111g	GO:0022803	passive transmembrane transporter activity
CAGL0A01111g	GO:0022804	active transmembrane transporter activity
CAGL0A01111g	GO:0022853	active ion transmembrane transporter activity
CAGL0A01111g	GO:0022857	transmembrane transporter activity
CAGL0A01111g	GO:0022890	inorganic cation transmembrane transporter activity
CAGL0A01111g	GO:0042625	ATPase-coupled ion transmembrane transporter activity
CAGL0A01111g	GO:0042626	ATPase-coupled transmembrane transporter activity
CAGL0A01111g	GO:0044769	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism
CAGL0A01111g	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
CAGL0A01111g	GO:0046961	proton-transporting ATPase activity, rotational mechanism
CAGL0A01111g	GO:0140657	ATPase-dependent activity
CAGL0A01133g	GO:0000166	nucleotide binding
CAGL0A01133g	GO:0005215	transporter activity
CAGL0A01133g	GO:0005524	ATP binding
CAGL0A01133g	GO:0015399	primary active transmembrane transporter activity
CAGL0A01133g	GO:0015421	ABC-type oligopeptide transporter activity
CAGL0A01133g	GO:0015440	ABC-type peptide transporter activity
CAGL0A01133g	GO:0016462	pyrophosphatase activity
CAGL0A01133g	GO:0016787	hydrolase activity
CAGL0A01133g	GO:0016817	hydrolase activity, acting on acid anhydrides
CAGL0A01133g	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
CAGL0A01133g	GO:0016887	ATP hydrolysis activity
CAGL0A01133g	GO:0017076	purine nucleotide binding
CAGL0A01133g	GO:0017111	nucleoside-triphosphatase activity
CAGL0A01133g	GO:0022804	active transmembrane transporter activity
CAGL0A01133g	GO:0022857	transmembrane transporter activity
CAGL0A01133g	GO:0030554	adenyl nucleotide binding
CAGL0A01133g	GO:0032553	ribonucleotide binding
CAGL0A01133g	GO:0032555	purine ribonucleotide binding
CAGL0A01133g	GO:0032559	adenyl ribonucleotide binding
CAGL0A01133g	GO:0035639	purine ribonucleoside triphosphate binding
CAGL0A01133g	GO:0035673	oligopeptide transmembrane transporter activity
CAGL0A01133g	GO:0036094	small molecule binding
CAGL0A01133g	GO:0042626	ATPase-coupled transmembrane transporter activity
CAGL0A01133g	GO:0042887	amide transmembrane transporter activity
CAGL0A01133g	GO:0043167	ion binding
CAGL0A01133g	GO:0043168	anion binding
CAGL0A01133g	GO:0097367	carbohydrate derivative binding
CAGL0A01133g	GO:0140359	ABC-type transporter activity
CAGL0A01133g	GO:0140657	ATPase-dependent activity
CAGL0A01133g	GO:1901265	nucleoside phosphate binding
CAGL0A01133g	GO:1904680	peptide transmembrane transporter activity
CAGL0A01177g	GO:0004435	phosphatidylinositol phospholipase C activity
CAGL0A01177g	GO:0004620	phospholipase activity
CAGL0A01177g	GO:0004629	phospholipase C activity
CAGL0A01177g	GO:0005509	calcium ion binding
CAGL0A01177g	GO:0008081	phosphoric diester hydrolase activity
CAGL0A01177g	GO:0016298	lipase activity
CAGL0A01177g	GO:0016787	hydrolase activity
CAGL0A01177g	GO:0016788	hydrolase activity, acting on ester bonds
CAGL0A01177g	GO:0042578	phosphoric ester hydrolase activity
CAGL0A01177g	GO:0043167	ion binding
CAGL0A01177g	GO:0043169	cation binding
CAGL0A01177g	GO:0046872	metal ion binding
CAGL0A01193g	GO:0004857	enzyme inhibitor activity
CAGL0A01193g	GO:0030234	enzyme regulator activity
CAGL0A01193g	GO:0055105	ubiquitin-protein transferase inhibitor activity
CAGL0A01193g	GO:0055106	ubiquitin-protein transferase regulator activity
CAGL0A01193g	GO:0098772	molecular function regulator
CAGL0A01199g	GO:0005215	transporter activity
CAGL0A01199g	GO:0005310	dicarboxylic acid transmembrane transporter activity
CAGL0A01199g	GO:0005313	L-glutamate transmembrane transporter activity
CAGL0A01199g	GO:0005342	organic acid transmembrane transporter activity
CAGL0A01199g	GO:0008509	anion transmembrane transporter activity
CAGL0A01199g	GO:0008514	organic anion transmembrane transporter activity
CAGL0A01199g	GO:0015075	ion transmembrane transporter activity
CAGL0A01199g	GO:0015171	amino acid transmembrane transporter activity
CAGL0A01199g	GO:0015172	acidic amino acid transmembrane transporter activity
CAGL0A01199g	GO:0015179	L-amino acid transmembrane transporter activity
CAGL0A01199g	GO:0015183	L-aspartate transmembrane transporter activity
CAGL0A01199g	GO:0015556	C4-dicarboxylate transmembrane transporter activity
CAGL0A01199g	GO:0022857	transmembrane transporter activity
CAGL0A01199g	GO:0046943	carboxylic acid transmembrane transporter activity
CAGL0A01221g	GO:0005215	transporter activity
CAGL0A01221g	GO:0015267	channel activity
CAGL0A01221g	GO:0022803	passive transmembrane transporter activity
CAGL0A01221g	GO:0022857	transmembrane transporter activity
CAGL0A01243g	GO:0005215	transporter activity
CAGL0A01243g	GO:0022857	transmembrane transporter activity
CAGL0A01325g	GO:0003712	transcription coregulator activity
CAGL0A01325g	GO:0140110	transcription regulator activity
CAGL0A01408g	GO:0000976	transcription cis-regulatory region binding
CAGL0A01408g	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
CAGL0A01408g	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
CAGL0A01408g	GO:0001046	core promoter sequence-specific DNA binding
CAGL0A01408g	GO:0001067	transcription regulatory region nucleic acid binding
CAGL0A01408g	GO:0001102	RNA polymerase II-specific DNA-binding transcription factor binding
CAGL0A01408g	GO:0001103	RNA polymerase II-specific DNA-binding transcription factor binding
CAGL0A01408g	GO:0003676	nucleic acid binding
CAGL0A01408g	GO:0003677	DNA binding
CAGL0A01408g	GO:0003690	double-stranded DNA binding
CAGL0A01408g	GO:0003712	transcription coregulator activity
CAGL0A01408g	GO:0005515	protein binding
CAGL0A01408g	GO:0008134	transcription factor binding
CAGL0A01408g	GO:0043565	sequence-specific DNA binding
CAGL0A01408g	GO:0140110	transcription regulator activity
CAGL0A01408g	GO:0140297	DNA-binding transcription factor binding
CAGL0A01408g	GO:1990837	sequence-specific double-stranded DNA binding
CAGL0A01430g	GO:0004834	tryptophan synthase activity
CAGL0A01430g	GO:0016829	lyase activity
CAGL0A01430g	GO:0016835	carbon-oxygen lyase activity
CAGL0A01430g	GO:0016836	hydro-lyase activity
CAGL0A01452g	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
CAGL0A01452g	GO:0004573	mannosyl-oligosaccharide glucosidase activity
CAGL0A01452g	GO:0015926	glucosidase activity
CAGL0A01452g	GO:0016787	hydrolase activity
CAGL0A01452g	GO:0016798	hydrolase activity, acting on glycosyl bonds
CAGL0A01496r	GO:0003676	nucleic acid binding
CAGL0A01496r	GO:0003723	RNA binding
CAGL0A01496r	GO:0003729	mRNA binding
CAGL0A01496r	GO:0030533	triplet codon-amino acid adaptor activity
CAGL0A01496r	GO:0033402	UUC codon-amino acid adaptor activity
CAGL0A01496r	GO:0060090	molecular adaptor activity
CAGL0A01540g	GO:0003676	nucleic acid binding
CAGL0A01540g	GO:0003723	RNA binding
CAGL0A01540g	GO:0003735	structural constituent of ribosome
CAGL0A01540g	GO:0005198	structural molecule activity
CAGL0A01540g	GO:0030627	pre-mRNA 5'-splice site binding
CAGL0A01540g	GO:0036002	pre-mRNA binding
CAGL0A01562g	GO:0003676	nucleic acid binding
CAGL0A01562g	GO:0003723	RNA binding
CAGL0A01584g	GO:0005515	protein binding
CAGL0A01584g	GO:0050839	cell adhesion molecule binding
CAGL0A01606g	GO:0003676	nucleic acid binding
CAGL0A01606g	GO:0003677	DNA binding
CAGL0A01606g	GO:0003690	double-stranded DNA binding
CAGL0A01628g	GO:0000976	transcription cis-regulatory region binding
CAGL0A01628g	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
CAGL0A01628g	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding
CAGL0A01628g	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
CAGL0A01628g	GO:0000987	cis-regulatory region sequence-specific DNA binding
CAGL0A01628g	GO:0001067	transcription regulatory region nucleic acid binding
CAGL0A01628g	GO:0001217	DNA-binding transcription repressor activity
CAGL0A01628g	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific
CAGL0A01628g	GO:0003676	nucleic acid binding
CAGL0A01628g	GO:0003677	DNA binding
CAGL0A01628g	GO:0003690	double-stranded DNA binding
CAGL0A01628g	GO:0003700	DNA-binding transcription factor activity
CAGL0A01628g	GO:0043565	sequence-specific DNA binding
CAGL0A01628g	GO:0140110	transcription regulator activity
CAGL0A01628g	GO:1990837	sequence-specific double-stranded DNA binding
CAGL0A01716g	GO:0008936	nicotinamidase activity
CAGL0A01716g	GO:0016787	hydrolase activity
CAGL0A01716g	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
CAGL0A01716g	GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
CAGL0A01738g	GO:0000009	alpha-1,6-mannosyltransferase activity
CAGL0A01738g	GO:0000030	mannosyltransferase activity
CAGL0A01738g	GO:0016740	transferase activity
CAGL0A01738g	GO:0016757	glycosyltransferase activity
CAGL0A01738g	GO:0016758	hexosyltransferase activity
CAGL0A01760g	GO:0000166	nucleotide binding
CAGL0A01760g	GO:0004812	aminoacyl-tRNA ligase activity
CAGL0A01760g	GO:0004814	arginine-tRNA ligase activity
CAGL0A01760g	GO:0005524	ATP binding
CAGL0A01760g	GO:0016874	ligase activity
CAGL0A01760g	GO:0016875	ligase activity, forming carbon-oxygen bonds
CAGL0A01760g	GO:0017076	purine nucleotide binding
CAGL0A01760g	GO:0030554	adenyl nucleotide binding
CAGL0A01760g	GO:0032553	ribonucleotide binding
CAGL0A01760g	GO:0032555	purine ribonucleotide binding
CAGL0A01760g	GO:0032559	adenyl ribonucleotide binding
CAGL0A01760g	GO:0035639	purine ribonucleoside triphosphate binding
CAGL0A01760g	GO:0036094	small molecule binding
CAGL0A01760g	GO:0043167	ion binding
CAGL0A01760g	GO:0043168	anion binding
CAGL0A01760g	GO:0097367	carbohydrate derivative binding
CAGL0A01760g	GO:0140098	catalytic activity, acting on RNA
CAGL0A01760g	GO:0140101	catalytic activity, acting on a tRNA
CAGL0A01760g	GO:0140640	catalytic activity, acting on a nucleic acid
CAGL0A01760g	GO:1901265	nucleoside phosphate binding
CAGL0A01782g	GO:0005215	transporter activity
CAGL0A01782g	GO:0005355	glucose transmembrane transporter activity
CAGL0A01782g	GO:0015144	carbohydrate transmembrane transporter activity
CAGL0A01782g	GO:0015145	monosaccharide transmembrane transporter activity
CAGL0A01782g	GO:0015146	pentose transmembrane transporter activity
CAGL0A01782g	GO:0015149	hexose transmembrane transporter activity
CAGL0A01782g	GO:0022857	transmembrane transporter activity
CAGL0A01782g	GO:0051119	sugar transmembrane transporter activity
CAGL0A01804g	GO:0005215	transporter activity
CAGL0A01804g	GO:0005353	fructose transmembrane transporter activity
CAGL0A01804g	GO:0015144	carbohydrate transmembrane transporter activity
CAGL0A01804g	GO:0015145	monosaccharide transmembrane transporter activity
CAGL0A01804g	GO:0015146	pentose transmembrane transporter activity
CAGL0A01804g	GO:0015149	hexose transmembrane transporter activity
CAGL0A01804g	GO:0022857	transmembrane transporter activity
CAGL0A01804g	GO:0051119	sugar transmembrane transporter activity
CAGL0A01826g	GO:0005215	transporter activity
CAGL0A01826g	GO:0005355	glucose transmembrane transporter activity
CAGL0A01826g	GO:0015144	carbohydrate transmembrane transporter activity
CAGL0A01826g	GO:0015145	monosaccharide transmembrane transporter activity
CAGL0A01826g	GO:0015149	hexose transmembrane transporter activity
CAGL0A01826g	GO:0022857	transmembrane transporter activity
CAGL0A01826g	GO:0051119	sugar transmembrane transporter activity
CAGL0A01848g	GO:0008270	zinc ion binding
CAGL0A01848g	GO:0043167	ion binding
CAGL0A01848g	GO:0043169	cation binding
CAGL0A01848g	GO:0046872	metal ion binding
CAGL0A01848g	GO:0046914	transition metal ion binding
CAGL0A01870g	GO:0005515	protein binding
CAGL0A01914g	GO:0004402	histone acetyltransferase activity
CAGL0A01914g	GO:0005515	protein binding
CAGL0A01914g	GO:0008080	N-acetyltransferase activity
CAGL0A01914g	GO:0016301	kinase activity
CAGL0A01914g	GO:0016407	acetyltransferase activity
CAGL0A01914g	GO:0016410	N-acyltransferase activity
CAGL0A01914g	GO:0016740	transferase activity
CAGL0A01914g	GO:0016746	acyltransferase activity
CAGL0A01914g	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups
CAGL0A01914g	GO:0016772	transferase activity, transferring phosphorus-containing groups
CAGL0A01914g	GO:0016773	phosphotransferase activity, alcohol group as acceptor
CAGL0A01914g	GO:0034212	peptide N-acetyltransferase activity
CAGL0A01914g	GO:0061733	peptide-lysine-N-acetyltransferase activity
CAGL0A01914g	GO:0140096	catalytic activity, acting on a protein
CAGL0A01936r	GO:0003676	nucleic acid binding
CAGL0A01936r	GO:0003723	RNA binding
CAGL0A01936r	GO:0003729	mRNA binding
CAGL0A01936r	GO:0030533	triplet codon-amino acid adaptor activity
CAGL0A01936r	GO:0033462	GGC codon-amino acid adaptor activity
CAGL0A01936r	GO:0060090	molecular adaptor activity
CAGL0A01980g	GO:0000049	tRNA binding
CAGL0A01980g	GO:0000166	nucleotide binding
CAGL0A01980g	GO:0003676	nucleic acid binding
CAGL0A01980g	GO:0003723	RNA binding
CAGL0A01980g	GO:0003743	translation initiation factor activity
