species	gff_upmost_parent	gene_name	aliases	feature_type	description	Scerevisiae_orthologs	start	end	gene_length	chromosome	orthofinder_orthocluster	GOterms	GOterms_cgdCurated
Candida_glabrata	CAGL0A00825g		CAGL-IPF3352|CAGL-CDS3029.1|CAG57697.1	ORF|Uncharacterized	Has domain(s) with predicted role in chromatin remodeling and nuclear chromosome localization		84864	86594	1730	ChrA_C_glabrata_CBS138	OG0000583	{'GO:0000228', 'GO:0003674', 'GO:0006338'}	{'GO:0000228', 'GO:0003674', 'GO:0006338'}
Candida_glabrata	CAGL0A00847g		CAGL-IPF3353|CAGL-CDS3330.1|CAG57698.1	ORF|Uncharacterized	Ortholog(s) have tRNA-specific adenosine deaminase activity, tRNA-specific adenosine-34 deaminase activity, role in tRNA wobble adenosine to inosine editing and tRNA-specific adenosine-34 deaminase complex localization	TAD3	86383	87887	1504	ChrA_C_glabrata_CBS138	OG0004609	{'GO:0003824', 'GO:0008251', 'GO:0052717', 'GO:0002100', 'GO:0052718', 'GO:0008270'}	{'GO:0008251', 'GO:0052717', 'GO:0002100', 'GO:0052718', 'GO:0008270'}
Candida_glabrata	CAGL0A00869g	EST2	CAGL-IPF3355|CAGL-CDS0684.1|CAG57699.1	ORF|Verified	Telomerase catalytic subunit	EST2	87716	90471	2755	ChrA_C_glabrata_CBS138	OG0004089	{'GO:0016233', 'GO:0005730', 'GO:0003964', 'GO:0001302', 'GO:0003721', 'GO:0042162', 'GO:0003723', 'GO:0003720', 'GO:0007004', 'GO:0003677', 'GO:0000333'}	{'GO:0016233', 'GO:0005730', 'GO:0001302', 'GO:0003721', 'GO:0042162', 'GO:0003723', 'GO:0003720', 'GO:0007004', 'GO:0000333'}
Candida_glabrata	CAGL0A00891g		CAGL-IPF3356|CAGL-CDS0931.1|CAG57700.1	ORF|Uncharacterized	Ortholog(s) have actin binding, cytoskeletal regulatory protein binding, enzyme activator activity	BUD6	90297	92857	2560	ChrA_C_glabrata_CBS138	OG0002791	{'GO:0032168', 'GO:0090338', 'GO:0005935', 'GO:0048315', 'GO:0045177', 'GO:0008104', 'GO:0030448', 'GO:0005519', 'GO:0035838', 'GO:0031562', 'GO:0003779', 'GO:0007118', 'GO:0035839', 'GO:0030953', 'GO:0005816', 'GO:0032880', 'GO:0008047', 'GO:0007121', 'GO:0043332', 'GO:0007124', 'GO:0034652', 'GO:0000131', 'GO:0005934', 'GO:2000251', 'GO:0005826', 'GO:0051017', 'GO:0051125'}	{'GO:0032168', 'GO:0090338', 'GO:0005935', 'GO:0048315', 'GO:0045177', 'GO:0008104', 'GO:0030448', 'GO:0005519', 'GO:0035838', 'GO:0031562', 'GO:0003779', 'GO:0007118', 'GO:0035839', 'GO:0030953', 'GO:0005816', 'GO:0032880', 'GO:0008047', 'GO:0007121', 'GO:0043332', 'GO:0007124', 'GO:0034652', 'GO:0000131', 'GO:0005934', 'GO:2000251', 'GO:0005826', 'GO:0051017', 'GO:0051125'}
Candida_glabrata	CAGL0A00913g		CAGL-IPF3357|CAGL-CDS0132.1|CAG57701.1	ORF|Uncharacterized	Ortholog(s) have role in double-strand break repair, meiotic sister chromatid segregation, recombinational repair, replication fork processing and Cul8-RING ubiquitin ligase complex, nucleus localization	MMS22	92916	98093	5177	ChrA_C_glabrata_CBS138	OG0006789	{'GO:0003674', 'GO:0006974', 'GO:0005634', 'GO:0045144', 'GO:0000725', 'GO:0031297', 'GO:0006302', 'GO:0006281', 'GO:0035361'}	{'GO:0003674', 'GO:0005634', 'GO:0045144', 'GO:0000725', 'GO:0031297', 'GO:0006302', 'GO:0035361'}
Candida_glabrata	CAGL0A00935g		CAGL-IPF3358|CAGL-CDS4197.1|CAG57702.1	ORF|Uncharacterized	Ortholog(s) have role in generation of catalytic spliceosome for first transesterification step, snoRNA splicing and U2-type spliceosomal complex localization	CWC24	96494	98116	1622	ChrA_C_glabrata_CBS138	OG0003534	{'GO:0000349', 'GO:0003676', 'GO:0034247', 'GO:0008270', 'GO:0046872', 'GO:0005684'}	{'GO:0000349', 'GO:0003676', 'GO:0034247', 'GO:0008270', 'GO:0005684'}
Candida_glabrata	CAGL0A00957g	PEX23B	CAGL-IPF3359|CAGL-CDS2747.1|CAG57703.1	ORF|Uncharacterized	Ortholog(s) have role in ER-dependent peroxisome organization and endoplasmic reticulum, integral component of peroxisomal membrane, plasma membrane localization	PEX30	98004	99814	1810	ChrA_C_glabrata_CBS138	OG0000318	{'GO:0003674', 'GO:0005783', 'GO:0016021', 'GO:0032581', 'GO:0005779', 'GO:0005886'}	{'GO:0005783', 'GO:0003674', 'GO:0032581', 'GO:0005779', 'GO:0005886'}
Candida_glabrata	CAGL0A00979g		CAGL-IPF15755|CAG57704.1	ORF|Uncharacterized	Ortholog(s) have cytosolic large ribosomal subunit, hyphal cell wall, yeast-form cell wall localization	RPL38	99217	100939	1722	ChrA_C_glabrata_CBS138	OG0000994	{'GO:0030445', 'GO:0003735', 'GO:0022625', 'GO:0030446', 'GO:0006412', 'GO:0005840'}	{'GO:0030445', 'GO:0003735', 'GO:0022625', 'GO:0030446', 'GO:0006412'}
Candida_glabrata	CAGL0A01001g		CAGL-IPF3364|CAGL-CDS4253.1|CAG57705.1	ORF|Uncharacterized	Ortholog of S. cerevisiae : YLR326W, C. albicans SC5314 : C2_00270C_A, C. dubliniensis CD36 : Cd36_15250, C. parapsilosis CDC317 : CPAR2_213510 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_116710	YLR326W	101597	102702	1105	ChrA_C_glabrata_CBS138	OG0003304	{'GO:0005575', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0A01023g		CAGL-IPF3366|CAGL-CDS2688.1|CAG57706.1	ORF|Uncharacterized	Ortholog(s) have nicotinamide-nucleotide adenylyltransferase activity and role in NAD biosynthetic process	NMA1	102766	104328	1562	ChrA_C_glabrata_CBS138	OG0001664	{'GO:0003824', 'GO:0005575', 'GO:0009058', 'GO:0009435', 'GO:0016779', 'GO:0000309', 'GO:0004515'}	{'GO:0005575', 'GO:0009435', 'GO:0000309'}
Candida_glabrata	CAGL0A01045g		CAGL-IPF3369|CAGL-CDS2173.1|CAG57707.1	ORF|Uncharacterized	Ortholog(s) have fumarate hydratase activity, role in fumarate metabolic process, tricarboxylic acid cycle and cytosol, mitochondrial matrix localization	FUM1	103980	106575	2595	ChrA_C_glabrata_CBS138	OG0000171	{'GO:0005829', 'GO:0003824', 'GO:0006106', 'GO:0045239', 'GO:0016829', 'GO:0004333', 'GO:0006099', 'GO:0005759'}	{'GO:0005829', 'GO:0006106', 'GO:0045239', 'GO:0004333', 'GO:0006099', 'GO:0005759'}
Candida_glabrata	CAGL0A01067g		CAGL-IPF3372|CAGL-CDS1307.1|CAG57708.1	ORF|Uncharacterized	Ortholog of S. cerevisiae : KEL3, C. albicans SC5314 : C1_13720W_A, C. dubliniensis CD36 : Cd36_12710, C. parapsilosis CDC317 : CPAR2_201590 and Candida tenuis NRRL Y-1498 : cten_CGOB_00106	KEL3	106776	108829	2053	ChrA_C_glabrata_CBS138	OG0002600	{'GO:0005575', 'GO:0005515', 'GO:0003674', 'GO:0008150'}	{'GO:0005575', 'GO:0003674', 'GO:0008150'}
Candida_glabrata	CAGL0A01089g		CAGL-IPF3375|CAGL-CDS1866.1|CAG57709.1	ORF|Uncharacterized	Has domain(s) with predicted alcohol O-acetyltransferase activity and role in alcohol metabolic process	PBI1	108879	111121	2242	ChrA_C_glabrata_CBS138	OG0006767	{'GO:0005575', 'GO:0004026', 'GO:0006066'}	{'GO:0005575', 'GO:0004026', 'GO:0006066'}
Candida_glabrata	CAGL0A01111g		CAGL-IPF15746|CAG57710.1	ORF|Uncharacterized	Ortholog(s) have proton-transporting ATP synthase activity, rotational mechanism activity, role in ATP synthesis coupled proton transport and mitochondrial proton-transporting ATP synthase, central stalk localization	ATP15	110834	111819	985	ChrA_C_glabrata_CBS138	OG0004865	{'GO:0046961', 'GO:0000275', 'GO:0005756', 'GO:0046933', 'GO:0015986'}	{'GO:0046961', 'GO:0005756', 'GO:0046933', 'GO:0015986'}
Candida_glabrata	CAGL0A01133g		CAGL-IPF3378|CAGL-CDS0810.1|CAG57711.1	ORF|Uncharacterized	Ortholog(s) have role in cellular response to hydrogen peroxide and mitochondrial inner membrane, vacuolar membrane localization	MDL2	111841	114593	2752	ChrA_C_glabrata_CBS138	OG0000337	{'GO:0005774', 'GO:0005524', 'GO:0015421', 'GO:0090374', 'GO:0042626', 'GO:0055085', 'GO:0005743', 'GO:0016021', 'GO:0070301', 'GO:0016887', 'GO:0140359', 'GO:0000166', 'GO:0017111'}	{'GO:0005774', 'GO:0005524', 'GO:0042626', 'GO:0055085', 'GO:0005743', 'GO:0016021', 'GO:0070301', 'GO:0016887', 'GO:0000166', 'GO:0017111'}
Candida_glabrata	CAGL0A01155g		CAGL-IPF3380|CAGL-CDS1455.1|CAG57712.1	ORF|Uncharacterized	Ortholog(s) have role in establishment of spindle localization, mitotic spindle orientation checkpoint, nuclear migration along microtubule	KAR9	114664	116830	2166	ChrA_C_glabrata_CBS138	OG0003387	{'GO:0003674', 'GO:0005935', 'GO:0051293', 'GO:0005816', 'GO:0005934', 'GO:0030473', 'GO:0005938', 'GO:0001411', 'GO:0005881', 'GO:0000778', 'GO:0043332', 'GO:0031578'}	{'GO:0003674', 'GO:0005935', 'GO:0051293', 'GO:0005816', 'GO:0005934', 'GO:0030473', 'GO:0005938', 'GO:0001411', 'GO:0005881', 'GO:0000778', 'GO:0043332', 'GO:0031578'}
Candida_glabrata	CAGL0A01177g		CAGL-IPF3384|CAGL-CDS0688.1|CAG57713.1	ORF|Uncharacterized	Ortholog(s) have phosphatidylinositol phospholipase C activity	PLC1	116987	120139	3152	ChrA_C_glabrata_CBS138	OG0003262	{'GO:0005509', 'GO:0009395', 'GO:0008081', 'GO:0044182', 'GO:0032958', 'GO:0034501', 'GO:0006629', 'GO:0001402', 'GO:0034644', 'GO:0007165', 'GO:0004435', 'GO:0035556', 'GO:0000778'}	{'GO:0005509', 'GO:0009395', 'GO:0044182', 'GO:0032958', 'GO:0034501', 'GO:0001402', 'GO:0034644', 'GO:0004435', 'GO:0035556', 'GO:0000778'}
Candida_glabrata	CAGL0A01193g		CAGL-IPF15742|CAR57993.1	ORF|Uncharacterized	Ortholog(s) have ubiquitin-protein transferase inhibitor activity, role in negative regulation of ubiquitin protein ligase activity and cytoplasm, nucleus localization	ACM1	119731	120042	311	ChrA_C_glabrata_CBS138	OG0006714	{'GO:0055105', 'GO:1904667', 'GO:0005737', 'GO:0005634'}	{'GO:0055105', 'GO:1904667', 'GO:0005737', 'GO:0005634'}
Candida_glabrata	CAGL0A01199g	DIP5	CAGL-IPF3389|CAGL-CDS1429.1|CAG57714.1	ORF|Uncharacterized	Putative dicarboxylic amino acid permease	DIP5	121026	123489	2463	ChrA_C_glabrata_CBS138	OG0001578	{'GO:0005313', 'GO:0055085', 'GO:0016021', 'GO:0035690', 'GO:0006865', 'GO:0016020', 'GO:0015183', 'GO:0005886', 'GO:0015813', 'GO:0070778', 'GO:0000328'}	{'GO:0005313', 'GO:0016021', 'GO:0035690', 'GO:0015183', 'GO:0005886', 'GO:0015813', 'GO:0070778', 'GO:0000328'}
Candida_glabrata	CAGL0A01221g		CAGL-IPF3391|CAGL-CDS3668.1|CAG57715.1	ORF|Uncharacterized	Has domain(s) with predicted channel activity, role in transmembrane transport and membrane localization		124987	129488	4501	ChrA_C_glabrata_CBS138	OG0003390	{'GO:0055085', 'GO:0015267', 'GO:0016020'}	{'GO:0055085', 'GO:0015267', 'GO:0016020'}
Candida_glabrata	CAGL0A01243g	GIT1	CAGL-IPF3394|CAGL-CDS1893.1|CAG57716.1	ORF|Uncharacterized	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane localization		126066	131211	5145	ChrA_C_glabrata_CBS138	OG0000061	{'GO:0055085', 'GO:0016021', 'GO:0022857'}	{'GO:0055085', 'GO:0016021', 'GO:0022857'}
